,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
101,LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,"llvm,  clang",https://summerofcode.withgoogle.com/archive/2019/organizations/5682474363912192/
102,LuaRocks,The Lua package manager and ecosystem,lua,https://summerofcode.withgoogle.com/archive/2019/organizations/5012931375267840/
103,MacPorts,Package manager for macOS,"tcl,  c,  python,  scripting,  web",https://summerofcode.withgoogle.com/archive/2019/organizations/6180821432532992/
104,MariaDB Foundation,One of the most popular databases on the web with many notable users,"mariadb,  mysql,  c,  c++,  java",https://summerofcode.withgoogle.com/archive/2019/organizations/5215339158175744/
105,Matrix.org,"An open network for secure, decentralised communication","python,  javascript,  nodejs,  postgresql,  go",https://summerofcode.withgoogle.com/archive/2019/organizations/4888795948777472/
106,MBDyn - Multibody Dynamics,Scientific mechanical simulation tool for engineering research and development,"python,  c++,  scripting",https://summerofcode.withgoogle.com/archive/2019/organizations/6496732601384960/
107,MetaBrainz Foundation Inc,MetaBrainz curates and makes available metadata about music and books.,"python,  perl,  javascript,  postgres,  react",https://summerofcode.withgoogle.com/archive/2019/organizations/4667145252765696/
108,MIT App Inventor,Anyone Can Build Apps That Impact the World,"java,  javascript,  android,  google app engine,  gwt",https://summerofcode.withgoogle.com/archive/2019/organizations/5222565591646208/
109,mlpack,"fast, flexible C++ machine learning library",c++,https://summerofcode.withgoogle.com/archive/2019/organizations/5934768259072000/
110,Moira,Moira is a realtime alerting system based on Graphite data,"golang,  javascript,  typescript,  grafana,  graphite",https://summerofcode.withgoogle.com/archive/2019/organizations/6751954187845632/
111,Moodle,Empowering educators to improve our world,"php,  javascript,  sql,  angular,  ionic",https://summerofcode.withgoogle.com/archive/2019/organizations/5681434444955648/
112,Mozilla,"The internet for people, not for profit.","javascript,  python,  rust,  c++,  react",https://summerofcode.withgoogle.com/archive/2019/organizations/5091266142928896/
113,MuseScore,MuseScore is music notation software used by millions of musicians worldwide,"qt,  c++,  cmake",https://summerofcode.withgoogle.com/archive/2019/organizations/4748058460422144/
114,Named Data Networking Project,A Content-Centric Future Internet architecture,"java,  android,  javascript,  c++14,  c#",https://summerofcode.withgoogle.com/archive/2019/organizations/5873958367264768/
115,National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,"java,  javascript,  python,  c++,  web",https://summerofcode.withgoogle.com/archive/2019/organizations/6637709450280960/
116,Neovim,Vim-fork focused on extensibility and usability,"c,  lua",https://summerofcode.withgoogle.com/archive/2019/organizations/4864359866564608/
117,Netfilter project,"Firewalling, NAT and packet mangling for Linux","c,  linux kernel",https://summerofcode.withgoogle.com/archive/2019/organizations/6409236987248640/
118,NumFOCUS,"Promoting open practices in research, data, and scientific computing.","python,  javascript,  c/c++,  r",https://summerofcode.withgoogle.com/archive/2019/organizations/5617300198129664/
119,NV Access,Empowering lives through non-visual access to technology,"python,  c++,  ui automation,  iaccessible2,  win32 api",https://summerofcode.withgoogle.com/archive/2019/organizations/5392062852104192/
120,Open Astronomy,Opening the eyes of research astronomy software to the whole world.,"python,  julia,  c++,  numba",https://summerofcode.withgoogle.com/archive/2019/organizations/5152196847468544/
121,Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.,"python,  perl,  java,  javascript,  biojs",https://summerofcode.withgoogle.com/archive/2019/organizations/5294944380518400/
122,Open Chemistry,Advancing Open Source and Open Science for Chemistry,"c++,  python,  opengl,  javascript,  html",https://summerofcode.withgoogle.com/archive/2019/organizations/4508112394911744/
123,Open Data Kit,Open Data Kit is used to collect data for social good in difficult environments.,"android,  java",https://summerofcode.withgoogle.com/archive/2019/organizations/5559834475233280/
124,Open Roberta,Open Roberta® Lab is an online IDE introducing kids to program robots with NEPO®,"java,  javascript",https://summerofcode.withgoogle.com/archive/2019/organizations/6273661445603328/
125,Open Source Robotics Foundation,"Open source software for use in robotics research, education and industry","ros,  gazebo,  c++,  python",https://summerofcode.withgoogle.com/archive/2019/organizations/5150988804030464/
126,Open Technologies Aliance - GFOSS,Promote Openness through use and development of Open Standards and Open Source,"python,  javascript,  gtk,  qt,  arduino",https://summerofcode.withgoogle.com/archive/2019/organizations/6491213031538688/
127,OpenCV,Open Source Computer Vision and Deep Learning Library,"c++,  python",https://summerofcode.withgoogle.com/archive/2019/organizations/5070964117733376/
128,OpenMRS,Write code. Save lives.,"java,  javascript,  spring,  mysql,  android",https://summerofcode.withgoogle.com/archive/2019/organizations/6088660628275200/
129,OpenStreetMap,Creating and distributing free geographic data for the world.,"javascript,  ruby,  java,  c/c++",https://summerofcode.withgoogle.com/archive/2019/organizations/4651509608873984/
130,OpenWISP,A Hackable Network Management System for the 21st Century,"python,  django,  javascript,  ansible,  openwrt",https://summerofcode.withgoogle.com/archive/2019/organizations/4578309608833024/
131,Oppia Foundation,"Collaborative tools for creating free, effective and enjoyable online lessons","angularjs,  python,  javascript,  app engine,  css",https://summerofcode.withgoogle.com/archive/2019/organizations/6170718394384384/
132,OSGeo,The Open Source Geospatial Foundation,"c/c++,  python,  sql,  open source databases,  java",https://summerofcode.withgoogle.com/archive/2019/organizations/6684630290268160/
