,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
167,Swift,Swift is a high-performance application and system programming language.,"swift,  programming languages,  compilers,  ios,  server",https://summerofcode.withgoogle.com/archive/2019/organizations/6407128493850624/
168,SymbiFlow,A completely FOSS toolchain for FPGAs.,"verilog,  fpga,  xilinx",https://summerofcode.withgoogle.com/archive/2019/organizations/6469457059250176/
169,SymPy,SymPy is a Python library for symbolic mathematics.,python,https://summerofcode.withgoogle.com/archive/2019/organizations/5652307671252992/
170,Synfig,Open-source 2D animation software,"c++,  gtk,  gtkmm",https://summerofcode.withgoogle.com/archive/2019/organizations/5485328519921664/
171,syslog-ng,Open source log management solution with over a million users worldwide.,"c,  python,  rest,  json,  elasticsearch",https://summerofcode.withgoogle.com/archive/2019/organizations/5114387092733952/
172,TensorFlow,An open-source machine learning framework for everyone.,"machine learning,  deep learning,  python,  c/c++,  data analysis",https://summerofcode.withgoogle.com/archive/2019/organizations/6672831360794624/
173,The Apache Software Foundation,Providing open source software to the public free of charge,"java,  c/c++",https://summerofcode.withgoogle.com/archive/2019/organizations/5617445421711360/
174,The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations,"javascript,  scala",https://summerofcode.withgoogle.com/archive/2019/organizations/6614261546090496/
175,The Eclipse Foundation,The Platform for Open Innovation and Collaboration,"java,  jakarta,  javascript,  openj9",https://summerofcode.withgoogle.com/archive/2019/organizations/4793126693109760/
176,The GNU Project,GNU is an operating system that is free software and respects users' freedom,operating systems,https://summerofcode.withgoogle.com/archive/2019/organizations/5352439094444032/
177,The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,"python,  go,  c/c++,  linux,  data analysis",https://summerofcode.withgoogle.com/archive/2019/organizations/6462296409243648/
178,The Java Pathfinder Team,An extensible software analysis framework for Java bytecode,"java,  jvm,  bytecode,  android,  distributed systems",https://summerofcode.withgoogle.com/archive/2019/organizations/4859784585543680/
179,The Julia Language,A fresh approach to Technical Computing,julia,https://summerofcode.withgoogle.com/archive/2019/organizations/4615767377575936/
180,The Libreswan Project,Encrypting the Internet with IKE and IPsec.,"c,  nss,  virtualization,  python,  web",https://summerofcode.withgoogle.com/archive/2019/organizations/4734236785901568/
181,The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"c,  c++,  cups,  ipp",https://summerofcode.withgoogle.com/archive/2019/organizations/6487994943406080/
182,The Mifos Initiative,End Poverty One Line of Code at a Time,"android,  spring,  java,  angular,  mysql",https://summerofcode.withgoogle.com/archive/2019/organizations/4585661988864000/
183,The NetBSD Foundation,Of course it runs NetBSD,"c,  bsd,  make",https://summerofcode.withgoogle.com/archive/2019/organizations/6058884492427264/
184,The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,"c/c++,  python",https://summerofcode.withgoogle.com/archive/2019/organizations/5495934539005952/
185,The Perl Foundation,Devoted to the advancement of the Perl languages through discussion and code,"c,  perl,  regular expressions,  perl6,  perl5",https://summerofcode.withgoogle.com/archive/2019/organizations/6559697677582336/
186,The Postgres Operator,A project to create an open-sourced managed Postgresql service for Kubernetes,"postgresql,  kubernetes,  golang,  operator,  patroni",https://summerofcode.withgoogle.com/archive/2019/organizations/6187982082539520/
187,The Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,"java,  javascript,  python,  android,  opengl",https://summerofcode.withgoogle.com/archive/2019/organizations/5422734538964992/
188,The Terasology Foundation,Voxel world game/engine with a large focus on extensibility and developer tools,"java,  lwjgl,  opengl,  blender,  gradle",https://summerofcode.withgoogle.com/archive/2019/organizations/5741667284418560/
189,The Vega Project at the University of Washington,"Declarative formats & Applications for Creating, Saving & Sharing Visualizations","typescript,  d3,  vega,  vega-lite,  react",https://summerofcode.withgoogle.com/archive/2019/organizations/5953843416793088/
190,The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android.","c,  opengl,  directx,  x11,  win32",https://summerofcode.withgoogle.com/archive/2019/organizations/4848751686975488/
191,TimVideos.us,"Software & hardware for recording + streaming conferences, meetings, user groups","python,  verilog,  vhdl,  c,  fpga",https://summerofcode.withgoogle.com/archive/2019/organizations/6213357017759744/
192,Tokio,The asynchronous run-time for the Rust programming language.,"tokio_rs,  rust",https://summerofcode.withgoogle.com/archive/2019/organizations/6043030627287040/
193,Tungsten Fabric,"Secure software defined networking for any cloud, anywhere.","linux,  kubernetes,  python,  networking,  c/c++",https://summerofcode.withgoogle.com/archive/2019/organizations/5098459072299008/
194,UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,"javascript,  python,  clojure,  react",https://summerofcode.withgoogle.com/archive/2019/organizations/4731456398557184/
195,VideoLAN,VideoLAN is a team of volunteers believing in FOSS to rock the multimedia world.,"c,  opengl,  qt,  assembly,  c++",https://summerofcode.withgoogle.com/archive/2019/organizations/6597728220479488/
196,webpack,webpack is THE build tool for modern web applications run on NodeJS,"javascript,  web development,  webasssembly,  node.js,  html5/css3",https://summerofcode.withgoogle.com/archive/2019/organizations/5974651593818112/
197,Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,"php,  javascript,  html,  css,  python",https://summerofcode.withgoogle.com/archive/2019/organizations/6727339445059584/
198,X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl,  vulkan,  x11,  wayland,  opencl",https://summerofcode.withgoogle.com/archive/2019/organizations/4999753610297344/
199,Xapian Search Engine Library,"Fast, scalable and flexible search","c++,  unicode,  swig,  linux",https://summerofcode.withgoogle.com/archive/2019/organizations/5711561895706624/
200,Xi Editor,A modern text editor with a backend written in Rust.,"rust,  swift",https://summerofcode.withgoogle.com/archive/2019/organizations/4795917817872384/
201,XMPP Standards Foundation (XSF),Secure and federated communication with open standards,"asynchronous i/o,  lua,  xmpp,  java,  python 3",https://summerofcode.withgoogle.com/archive/2019/organizations/5008573141090304/
202,xpra,"screen for X11, remote access for MS Windows and Mac OS","python,  javascript,  c",https://summerofcode.withgoogle.com/archive/2019/organizations/6320987639906304/
203,XWiki,The Advanced Open Source Enterprise Wiki,"java,  javascript,  html5,  css3,  velocity",https://summerofcode.withgoogle.com/archive/2019/organizations/6134473047932928/
204,Zulip Open Source Project,"Powerful, modern, open source team chat, complete with apps for every platform.","python,  react native,  django,  javascript,  electron",https://summerofcode.withgoogle.com/archive/2019/organizations/4652389204754432/
205,ZynAddSubFX,An open source musical software synthesizer with a wide range of possibilities,"c/c++,  ruby,  midi,  open-sound-control,  opengl",https://summerofcode.withgoogle.com/archive/2019/organizations/5486812028469248/
