,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
168,SPDX,Promoting open source compliance through standard communication of SW licenses.,"rdf,  python,  java,  json",https://summerofcode.withgoogle.com/archive/2018/organizations/5081879929683968/
169,Stemformatics,Stemformatics is a web-based pocket dictionary for stem cell scientists.,"python,  javascript,  postgresql",https://summerofcode.withgoogle.com/archive/2018/organizations/6199903000723456/
170,STE||AR Group,HPX: The C++ Standard Library for Parallelism and Concurrency,"c++,  cuda,  opencv,  python,  boost",https://summerofcode.withgoogle.com/archive/2018/organizations/6248264466694144/
171,Stony Brook University Biomedical Informatics,Advance biomedical knowledge through innovative data science research,"python,  matlab,  c++,  javascript",https://summerofcode.withgoogle.com/archive/2018/organizations/6275038890164224/
172,strace,linux syscall tracer,"linux,  c,  git,  shell script,  make",https://summerofcode.withgoogle.com/archive/2018/organizations/6045186870214656/
173,Streetmix,"Design, remix, and share your neighborhood street, all in your browser.","javascript,  react,  redux,  postgresql,  mongodb",https://summerofcode.withgoogle.com/archive/2018/organizations/5918428024012800/
174,Submitty,Programming assignment submission with automated grading and manual TA grading,"python,  c++,  databases,  web/html/css,  php/javascript/ajax",https://summerofcode.withgoogle.com/archive/2018/organizations/5076076959105024/
175,Sugar Labs,"We make tools that learners use to explore, discover, create, and reflect.","python,  javascript,  gtk+",https://summerofcode.withgoogle.com/archive/2018/organizations/5753952654065664/
176,Sustainable Computing Research Group (SCoRe),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.","android,  java,  go,  node,  pyth",https://summerofcode.withgoogle.com/archive/2018/organizations/5745237494333440/
177,Swift,Swift is a high-performance system programming language.,"c++,  llvm,  cmake,  swift",https://summerofcode.withgoogle.com/archive/2018/organizations/5146674678726656/
178,SymPy,SymPy is a Python library for symbolic mathematics.,python,https://summerofcode.withgoogle.com/archive/2018/organizations/5672591746400256/
179,Systers Community,Helping women find their potential in code. You are not alone.,"ios,  android,  python,  ruby on rails,  javascript",https://summerofcode.withgoogle.com/archive/2018/organizations/6321870005600256/
180,TEAMMATES @ National University of Singapore,An online feedback management system for education,"java,  appengine,  javascript",https://summerofcode.withgoogle.com/archive/2018/organizations/6265117784145920/
181,The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations,"javascript,  scala,  html5/css3",https://summerofcode.withgoogle.com/archive/2018/organizations/5109641792978944/
182,The Eclipse Foundation,An amazing open source community of diverse technology and collaboration.,"php,  java,  xtext,  javascript,  c/c++",https://summerofcode.withgoogle.com/archive/2018/organizations/5743257380192256/
183,The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,"python 3,  python,  golang,  c/c++,  machine learning",https://summerofcode.withgoogle.com/archive/2018/organizations/5912217769738240/
184,The Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for software verification,"java,  jvm,  android,  distributed systems",https://summerofcode.withgoogle.com/archive/2018/organizations/6274587650162688/
185,The Libreswan Project,Encrypting the Internet with IKE and IPsec,"c,  python,  shell script,  qemu",https://summerofcode.withgoogle.com/archive/2018/organizations/5106919723237376/
186,The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"c,  c++,  cups,  ipp",https://summerofcode.withgoogle.com/archive/2018/organizations/5146991633891328/
187,The MacPorts Project,Open Source package manager for macOS,"tcl,  html/javascript,  frontend,  vue.js,  react.js",https://summerofcode.withgoogle.com/archive/2018/organizations/4867664006610944/
188,The Mifos Initiative,End Poverty One Line of Code at a Time,"java,  android,  spring,  angularjs,  mysql",https://summerofcode.withgoogle.com/archive/2018/organizations/5355478070591488/
189,The NetBSD Foundation,Of course it runs NetBSD,"c,  bsd make",https://summerofcode.withgoogle.com/archive/2018/organizations/5928349130031104/
190,The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,"c/c++,  python",https://summerofcode.withgoogle.com/archive/2018/organizations/6608136823635968/
191,The Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,"java,  javascript,  python,  android,  opengl",https://summerofcode.withgoogle.com/archive/2018/organizations/5665833682468864/
192,The Qt Project,The Qt Project co-ordinates the development of the Qt software framework.,"c++11,  cpp,  qt,  qml,  opengl",https://summerofcode.withgoogle.com/archive/2018/organizations/6475167723159552/
193,The syslog-ng project.,Open source log management solution with over a million users worldwide.,"java,  c/c++,  big data,  elasticsearch,  rest",https://summerofcode.withgoogle.com/archive/2018/organizations/5651276360581120/
194,The Vega Visualization Tools by the UW Interactive Data Lab,"Declarative formats & Applications for Creating, Saving & Sharing Visualizations","javascript,  typescript,  react,  d3.js",https://summerofcode.withgoogle.com/archive/2018/organizations/4645580374540288/
195,The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android.","directx,  x11,  win32,  opengl,  c",https://summerofcode.withgoogle.com/archive/2018/organizations/6258536686288896/
196,TimVideos.us,"Software+hardware for recording & streaming conferences, meetings, user groups.","fpga,  verilog,  python,  c",https://summerofcode.withgoogle.com/archive/2018/organizations/5082529006616576/
197,TLA+,"TLA+ is a formal specification language used to design, model and verify systems","java,  tla+,  eclipse,  ocaml,  smt",https://summerofcode.withgoogle.com/archive/2018/organizations/6308187447754752/
198,UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,"javascript,  python,  clojure,  react,  jvm",https://summerofcode.withgoogle.com/archive/2018/organizations/5088326407159808/
199,VideoLAN,Open Source Multimedia everywhere,"c,  c++,  go,  vue.js",https://summerofcode.withgoogle.com/archive/2018/organizations/4795301189648384/
200,ViSP,Visual tracking and visual servoing library,c/c++,https://summerofcode.withgoogle.com/archive/2018/organizations/5088548537499648/
201,vitrivr,vitrivr - the open-source multimedia search engine,"java,  angularjs,  spark,  grpc",https://summerofcode.withgoogle.com/archive/2018/organizations/4801054029905920/
202,webpack,webpack is THE build tool for modern web applications run on NodeJS,"javascript,  web development,  html5/css3,  node.js,  webassembly",https://summerofcode.withgoogle.com/archive/2018/organizations/4872598588489728/
203,Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,"php,  javascript,  ruby on rails,  android,  reactjs",https://summerofcode.withgoogle.com/archive/2018/organizations/6035427630776320/
204,WorldBrain.io - Verifying the Internet,Bookmarking extension that works like your brain - full-text search everything.,"react,  javascript,  browser extension,  datproject",https://summerofcode.withgoogle.com/archive/2018/organizations/4651790628814848/
205,X.org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","opengl,  vulkan,  x11,  wayland,  opencl",https://summerofcode.withgoogle.com/archive/2018/organizations/4893771770626048/
206,Xapian Search Engine Library,"Fast, scalable and flexible search","c++,  unicode,  swig,  linux,  golang",https://summerofcode.withgoogle.com/archive/2018/organizations/5404190113267712/
207,XBMC Foundation,The ultimate entertainment center,"python,  c/c++,  github,  mysql",https://summerofcode.withgoogle.com/archive/2018/organizations/5991099608858624/
208,Xi Editor Project,A modern text editor with a backend written in Rust.,"rust,  swift",https://summerofcode.withgoogle.com/archive/2018/organizations/6530090020110336/
209,xpra.org,"Screen for X11, remote desktop platform.","python,  javascript,  compression,  remote access,  cython",https://summerofcode.withgoogle.com/archive/2018/organizations/5969765231230976/
210,XWiki,The Advanced Open Source Enterprise Wiki,"java,  javascript,  html5,  css3,  velocity",https://summerofcode.withgoogle.com/archive/2018/organizations/6278111670829056/
211,Zulip,"Powerful, modern, open source team chat, complete with apps for every platform.","python,  django,  javascript,  react native,  electron",https://summerofcode.withgoogle.com/archive/2018/organizations/4721112676040704/
