,Organisation Name,Organisation Tagline,Technologies Used,GSOC Organisation Link
171,SymbiFlow,A completely FOSS toolchain for FPGAs.,"c/c++,  fpga,  python,  verilog",https://summerofcode.withgoogle.com/archive/2020/organizations/5628676583981056/
172,SymPy,Symbolic mathematics in Python,python,https://summerofcode.withgoogle.com/archive/2020/organizations/5669371197784064/
173,Synfig,Open-source 2D animation software,"c++,  gtk,  gtkmm,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5710829074251776/
174,syslog-ng,"syslog-ng is an enhanced log daemon, supporting a wide range of I/O methods","elasticsearch,  kafka,  sql,  python,  c",https://summerofcode.withgoogle.com/archive/2020/organizations/6013743185526784/
175,TARDIS-SN,Exploring supernovae made easy,python,https://summerofcode.withgoogle.com/archive/2020/organizations/6024226160508928/
176,TensorFlow,An open-source machine learning framework for everyone.,"machine learning,  deep learning,  python,  data analysis,  c/c++",https://summerofcode.withgoogle.com/archive/2020/organizations/5569649606918144/
177,The Apache Software Foundation,Providing open source software to the public free of charge,"java,  c++",https://summerofcode.withgoogle.com/archive/2020/organizations/6679967372410880/
178,The GNU Project,GNU is a free software Operating System and a collection of other utilities,"c/c++,  javascript,  android,  python,  scheme",https://summerofcode.withgoogle.com/archive/2020/organizations/5461276207087616/
179,The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,"python,  golang,  honeypot,  machine learning,  networking",https://summerofcode.withgoogle.com/archive/2020/organizations/5961706703945728/
180,The Java Pathfinder Team,JPF is a highly extensible Java virtual machine built for software verification,"javajava,  jvm,  android,  distributed systems",https://summerofcode.withgoogle.com/archive/2020/organizations/4643042893496320/
181,The Julia Language,A fresh approach to Technical Computing,"julia,  julialang",https://summerofcode.withgoogle.com/archive/2020/organizations/6163109162516480/
182,The Libreswan Project,Encrypting the Internet with IKE and IPsec,"c,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5398756750524416/
183,The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,"c,  c++,  cups,  ipp",https://summerofcode.withgoogle.com/archive/2020/organizations/5415607517839360/
184,The LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,"llvm,  clang,  mlir",https://summerofcode.withgoogle.com/archive/2020/organizations/5902726635978752/
185,The Mifos Initiative,End Poverty One Line of Code at a Time,"android,  java,  angular,  mysql,  spring",https://summerofcode.withgoogle.com/archive/2020/organizations/6055344943398912/
186,The NetBSD Foundation,Of course it runs NetBSD,"c,  bsd make",https://summerofcode.withgoogle.com/archive/2020/organizations/6156737276542976/
187,The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,"c/c++,  python",https://summerofcode.withgoogle.com/archive/2020/organizations/5105708816662528/
188,The Terasology Foundation,Voxel world game/engine with a large focus on extensibility and developer tools,"java,  lwgjl,  opengl,  blender,  gradle",https://summerofcode.withgoogle.com/archive/2020/organizations/4504833932918784/
189,The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android.","c,  opengl,  directx,  win32,  vulkan",https://summerofcode.withgoogle.com/archive/2020/organizations/6331124088832000/
190,VideoLAN,Open Source Multimedia for everyone,"c++,  asm,  c,  go,  c#",https://summerofcode.withgoogle.com/archive/2020/organizations/6444776540340224/
191,webpack,webpack is a module bundler.,"javascript,  webpack",https://summerofcode.withgoogle.com/archive/2020/organizations/5144337383424000/
192,Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,"html,  css,  python,  javascript,  php",https://summerofcode.withgoogle.com/archive/2020/organizations/5593787323121664/
193,Wireshark,Wireshark is the world's foremost network protocol analyzer.,"qt,  c/c++,  lua,  pcap,  cmake",https://summerofcode.withgoogle.com/archive/2020/organizations/5630325851422720/
194,X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)","x11,  opencl,  opengl,  wayland,  vulkan",https://summerofcode.withgoogle.com/archive/2020/organizations/5883488672153600/
195,Xapian Search Engine Library,"Fast, scalable and flexible search","c++,  unicode,  swig,  linux,  golang",https://summerofcode.withgoogle.com/archive/2020/organizations/4524333319323648/
196,XMPP Standards Foundation,Secure and federated communication with open standards,"java,  xmpp,  vala,  webrtc,  lua",https://summerofcode.withgoogle.com/archive/2020/organizations/5153224375402496/
197,XWiki,The Advanced Open Source Enterprise Wiki,"java,  javascript,  html5,  css,  velocity",https://summerofcode.withgoogle.com/archive/2020/organizations/6726059115937792/
198,Zulip,"Powerful, modern, open source team chat, complete with apps for every platform.","python,  react native,  django,  typescript,  electron",https://summerofcode.withgoogle.com/archive/2020/organizations/5924162381545472/
